url,n_stars,created_at,updated_at,pushed_at,is_fork,archived_at,is_template,license,primary_language,topics,description
ShielderSec/webtech,236,2018-09-06T13:36:05Z,2023-06-25T22:28:01Z,2023-03-20T09:28:08Z,False,,False,GNU General Public License v3.0,Python,"['webtech', 'burpsuite']",Identify technologies used on websites.
Shopify/bootsnap,2604,2017-02-06T21:22:34Z,2023-07-01T14:01:52Z,2023-06-30T21:31:10Z,False,,False,MIT License,Ruby,"['ruby', 'performance', 'gem', 'computers']",Boot large Ruby/Rails apps faster
Shopify/logrus-bugsnag,13,2015-10-22T19:10:50Z,2023-03-30T02:27:42Z,2023-06-19T03:02:59Z,False,,False,MIT License,Go,[],logrus-bugsnag is a hook that interfaces Logrus with Bugsnag.
Shopify/sarama,10079,2013-07-05T18:52:38Z,2023-07-01T21:45:20Z,2023-06-29T19:27:59Z,False,,False,MIT License,Go,"['kafka', 'kafka-client', 'go']",Sarama is a Go library for Apache Kafka.
Shopify/toxiproxy,9196,2014-09-04T13:56:38Z,2023-07-02T10:38:26Z,2023-06-19T07:57:52Z,False,,False,MIT License,Go,"['resiliency', 'tcp-proxy', 'go', 'proxy', 'chaos', 'testing', 'omg', 'is', 'down']",:alarm_clock: :fire: A TCP proxy to simulate network and system conditions for chaos and resiliency testing
SimonLarsen/iyfct,39,2011-04-24T01:45:33Z,2022-11-18T01:03:20Z,2018-08-19T10:03:14Z,False,,False,Other,Lua,[],In Your Face City Trains
simplistix/testfixtures,229,2011-05-27T18:44:50Z,2023-05-23T03:34:49Z,2023-06-16T16:48:49Z,False,,False,MIT License,Python,[],testfixtures is a collection of helpers and mock objects that are useful when writing automated tests in Python.
Simsys/qhexedit2,311,2015-04-07T15:39:01Z,2023-06-22T07:10:24Z,2022-12-23T18:04:10Z,False,,False,,C++,"['qt', 'pyqt', 'hexadecimal', 'python', 'python3', 'widget']",Binary Editor for Qt
Snawoot/postfix-mta-sts-resolver,105,2018-09-29T16:29:14Z,2023-06-20T04:56:22Z,2023-03-11T00:11:51Z,False,,False,MIT License,Python,"['postfix', 'mta-sts', 'sts', 'smtp-sts', 'postfix-helper', 'postfix-policy-server', 'postfix-smtp']","Daemon which provides TLS client policy for Postfix via socketmap, according to domain MTA-STS policy"
SorkinType/Merriweather,230,2019-04-03T17:39:33Z,2023-06-23T16:03:09Z,2023-06-22T15:33:49Z,False,,False,SIL Open Font License 1.1,HTML,[],"Merriweather is a serif typeface. It is offered in Variable font format and static formats ( OTF, TTF WOFF etc). "
SorkinType/Merriweather-Sans,57,2019-04-01T19:34:36Z,2023-05-03T14:35:50Z,2020-12-29T06:01:53Z,True,,False,Other,Shell,[],The Sans companion to the serifed Merriweather
SpamExperts/pyzor,124,2014-05-27T14:00:18Z,2023-05-23T09:28:30Z,2023-06-26T02:57:36Z,False,,False,GNU General Public License v2.0,Python,[],Pyzor is a Python implementation of a spam-blocking networked system that use spam signatures to identify them.
SpiderLabs/ModSecurity-apache,84,2015-10-04T21:25:32Z,2023-06-21T07:45:12Z,2021-09-14T12:49:20Z,False,,False,Apache License 2.0,Perl,"['modsecurity', 'libmodsecurity', 'waf', 'apache', 'apache2']",ModSecurity v3 Apache Connector
SpikeInterface/probeinterface,23,2020-11-24T09:01:50Z,2023-06-15T15:50:52Z,2023-06-27T11:17:18Z,False,,False,MIT License,Python,[],"Python package to handle probe layout, geometry and wiring to device."
SrainApp/srain,279,2016-01-26T11:05:50Z,2023-06-27T11:49:35Z,2023-03-26T05:07:33Z,False,,False,Other,C,"['irc', 'irc-client', 'gtk', 'im', 'chat', 'srain', 'gtk3']",Modern IRC client written in GTK
Starlink/pal,21,2012-08-20T21:58:46Z,2023-06-20T10:31:46Z,2022-09-09T17:02:53Z,False,,False,GNU Lesser General Public License v3.0,C,"['astronomy', 'c', 'wcs']",Positional Astronomy Library
Sterlingg/json-snatcher,88,2013-07-30T09:49:29Z,2023-05-17T20:51:29Z,2023-02-17T09:34:54Z,False,,False,,Emacs Lisp,[],Get the path to a JSON element in Emacs.
StevenLooman/async_upnp_client,42,2018-03-18T16:07:36Z,2023-06-23T14:07:21Z,2023-06-25T13:47:35Z,False,,False,Other,Python,['hacktoberfest'],Async UPnP Client for Python
StevenLooman/python-didl-lite,5,2018-06-24T16:35:10Z,2022-04-10T01:57:33Z,2021-11-29T21:05:50Z,False,,False,Other,Python,[],DIDL-Lite (Digital Item Declaration Language) tools for Python
storj-archived/libstorj,120,2016-11-07T15:52:36Z,2023-06-30T16:51:51Z,2020-12-28T21:10:21Z,False,2021-07-02T10:28:03Z,False,GNU Lesser General Public License v2.1,C,[],Deprecated. Asynchronous multi-platform C library and CLI for encrypted file transfer on the Storj network.
Storyyeller/enjarify,872,2017-01-30T22:06:15Z,2023-06-23T00:20:48Z,2021-11-07T23:12:43Z,True,,False,Apache License 2.0,Python,[],
Stranger6667/pytest-click,26,2016-01-28T16:22:02Z,2023-01-02T16:20:08Z,2022-10-19T13:53:32Z,False,,False,MIT License,Python,"['pytest-plugin', 'pytest', 'click']",Pytest plugin for Click
StyraHem/pyShelly,54,2019-02-02T22:29:49Z,2023-02-26T15:22:00Z,2023-04-19T08:59:20Z,False,,False,MIT License,Python,[],Library for Shelly smart home devices
Sude-/lgogdownloader,576,2013-03-15T20:45:28Z,2023-07-02T13:17:30Z,2023-07-02T09:15:51Z,False,,False,Do What The F*ck You Want To Public License,C++,[],LGOGDownloader is unofficial downloader to GOG.com for Linux users. It uses the same API as the official GOG Galaxy.
Suor/django-cacheops,1858,2011-06-04T12:25:47Z,2023-06-30T06:24:25Z,2023-05-20T06:23:11Z,False,,False,"BSD 3-Clause ""New"" or ""Revised"" License",Python,"['django', 'caching', 'python', 'orm']",A slick ORM cache with automatic granular event-driven invalidation.
Suor/funcy,3097,2012-10-13T00:44:57Z,2023-07-01T15:54:26Z,2023-05-11T06:40:13Z,False,,False,"BSD 3-Clause ""New"" or ""Revised"" License",Python,"['functional-programming', 'utilities', 'python']",A fancy and practical functional tools
Swordfish90/cool-retro-term,18981,2013-11-22T09:59:57Z,2023-07-02T15:19:51Z,2023-02-17T17:58:49Z,False,,False,,QML,"['retro', 'qml', 'qt', 'macos', 'linux', 'terminal']",A good looking terminal emulator which mimics the old cathode display...
Swordfish90/qmltermwidget,178,2014-11-05T22:33:42Z,2023-06-30T01:51:02Z,2023-04-29T15:19:00Z,True,,False,GNU General Public License v2.0,C++,[],QML port of qtermwidget
Syllo/nvtop,5411,2017-06-16T09:52:13Z,2023-07-02T13:51:10Z,2023-06-15T09:47:41Z,False,,False,Other,C,"['monitoring', 'nvidia', 'gpu', 'ncurses', 'amdgpu', 'intel', 'linux', 'intelgpu', 'command-line-tool']","GPUs process monitoring for AMD, Intel and NVIDIA "
Syndace/python-doubleratchet,14,2017-09-29T19:04:24Z,2023-01-30T12:21:08Z,2023-01-30T13:08:48Z,False,,False,MIT License,Python,[],A Python implementation of the Double Ratchet algorithm.
Syndace/python-omemo,39,2017-09-30T16:32:30Z,2023-04-30T19:17:55Z,2022-11-11T21:23:38Z,False,,False,MIT License,Python,[],An open python implementation of the OMEMO Multi-End Message and Object Encryption protocol.
Syndace/python-omemo-backend-signal,5,2018-11-07T20:57:30Z,2023-01-27T19:24:05Z,2022-08-27T17:41:10Z,False,2022-11-02T04:53:22Z,False,GNU General Public License v3.0,Python,[],A backend for python-omemo offering compatibility with libsignal.
Syndace/python-x3dh,12,2017-09-29T18:22:24Z,2023-03-27T23:29:53Z,2022-11-11T11:00:07Z,False,,False,MIT License,Python,[],A Python implementation of the Extended Triple Diffie-Hellman key agreement protocol.
Syndace/python-xeddsa,6,2018-03-04T15:43:26Z,2022-11-02T12:51:23Z,2022-11-08T11:06:17Z,False,,False,MIT License,Python,[],Python bindings to libxeddsa.
Sysinternals/ProcDump-for-Linux,2717,2017-11-10T22:07:20Z,2023-06-30T00:11:29Z,2023-06-30T18:47:08Z,False,,False,MIT License,C++,"['debugging-tool', 'cli', 'sysinternals']",A Linux version of the ProcDump Sysinternals tool
TUD-RST/pyplane,11,2015-04-09T13:32:53Z,2022-08-13T16:53:33Z,2022-05-25T14:50:19Z,False,,False,GNU General Public License v3.0,Python,[],Phase plane analysis of nonlinear systems
Tanganelli/CoAPthon3,53,2018-01-08T14:52:04Z,2023-01-25T21:58:58Z,2023-05-15T14:43:43Z,False,,False,MIT License,Python,[],CoAPthon3 is a porting to python3 of my CoAPthon library. CoAPthon3 is a python3 library to the CoAP protocol compliant with the RFC. Branch is available for the Twisted framework.
tarptaeya/PDFReader,9,2018-10-31T06:17:16Z,2023-06-10T14:46:10Z,2020-09-24T12:12:52Z,False,2021-05-08T15:25:12Z,False,GNU General Public License v3.0,JavaScript,"['falkon', 'pdf-reader', 'plugin', 'pdfjs']",PDF reader extension for falkon
TartanLlama/expected,1163,2017-10-25T18:19:53Z,2023-07-02T09:16:51Z,2023-06-17T16:30:58Z,False,,False,Creative Commons Zero v1.0 Universal,C++,[],C++11/14/17 std::expected with functional-style extensions 
Tessil/robin-map,989,2017-08-10T17:43:06Z,2023-07-01T15:22:05Z,2023-06-03T14:36:42Z,False,,False,MIT License,C++,"['c-plus-plus', 'cpp', 'hash-map', 'data-structures', 'header-only', 'hash-table']", C++ implementation of a fast hash map and hash set using robin hood hashing
Tessil/sparse-map,306,2018-01-30T17:54:42Z,2023-06-26T10:18:14Z,2023-06-03T14:27:49Z,False,,False,MIT License,C++,"['c-plus-plus', 'cpp', 'hash-map', 'data-structures', 'header-only', 'hash-table']",C++ implementation of a memory efficient hash map and hash set
Textualize/rich,43776,2019-11-10T15:28:09Z,2023-07-02T15:53:27Z,2023-07-02T11:10:10Z,False,,False,MIT License,Python,"['python', 'python3', 'python-library', 'terminal', 'terminal-color', 'markdown', 'tables', 'syntax-highlighting', 'ansi-colors', 'progress-bar-python', 'progress-bar', 'traceback', 'rich', 'tracebacks-rich', 'emoji', 'tui']",Rich is a Python library for rich text and beautiful formatting in the terminal.
Textualize/textual,19866,2021-04-08T15:24:47Z,2023-07-02T16:30:28Z,2023-07-02T16:23:48Z,False,,False,MIT License,Python,"['terminal', 'python', 'tui', 'rich', 'cli', 'framework']",Textual is a Rapid Application Development framework for Python.  Build sophisticated user interfaces with a simple Python API. Run your apps in the terminal and (coming soon) a web browser!
The-Compiler/pytest-xvfb,61,2016-02-16T18:45:56Z,2023-06-22T19:31:18Z,2023-05-29T11:51:15Z,False,,False,MIT License,Python,[],A pytest plugin to run Xvfb (or Xephyr/Xvnc) for tests.
ThinkChaos/Trololio,1,2014-09-07T15:48:03Z,2021-02-28T23:57:29Z,2015-01-02T14:36:07Z,False,,False,MIT License,Python,[],Trollius and asyncio compatibility library
tiehuis/2048-cli,227,2014-03-12T21:26:21Z,2023-06-16T06:04:21Z,2021-09-04T18:06:38Z,False,,False,MIT License,C,"['2048', 'ncurses', 'terminal', 'terminal-game']",The game 2048 for your Linux terminal (https://github.com/gabrielecirulli/2048)
Tieske/binaryheap.lua,35,2015-04-18T20:43:05Z,2023-06-27T16:28:41Z,2021-12-20T09:20:06Z,False,,False,MIT License,Lua,[],Binary heap implementation in Lua
Tieske/timerwheel.lua,27,2018-12-03T12:18:45Z,2023-04-20T22:48:53Z,2022-12-29T22:58:43Z,False,,False,MIT License,Lua,[],Pure Lua timerwheel implementation
TigerVNC/tigervnc,4117,2014-06-25T12:48:26Z,2023-07-02T11:18:53Z,2023-06-30T20:36:06Z,False,,False,GNU General Public License v2.0,C++,[],"High performance, multi-platform VNC client and server"
Tigge/openant,141,2014-01-17T09:13:04Z,2023-05-25T19:01:39Z,2023-06-16T13:27:40Z,False,,False,MIT License,Python,[],ANT and ANT-FS Python Library
Tiiffi/mcrcon,671,2013-06-19T02:03:39Z,2023-07-02T10:53:26Z,2021-10-30T20:41:45Z,False,,False,zlib License,C,"['rcon', 'mcrcon', 'minecraft', 'remote-control', 'remote-access', 'remote-admin-tool', 'game-server', 'mojang', 'administration', 'remote-administration-tool', 'remote-admin', 'remote-administrator-tool', 'maintenance-tool', 'maintenance-terminal', 'maintenance-scripts', 'maintenance-script', 'valve-rcon', 'rcon-client', 'source-rcon', 'linux']",Rcon client for Minecraft
TimothyGu/libilbc,59,2012-02-22T23:06:29Z,2023-06-14T18:29:24Z,2022-05-02T18:08:36Z,False,,False,"BSD 3-Clause ""New"" or ""Revised"" License",C,[],Packaged version of iLBC codec from the WebRTC project
Tinche/aiofiles,2307,2015-03-29T20:28:14Z,2023-07-01T18:30:28Z,2023-06-28T23:19:21Z,False,,False,Apache License 2.0,Python,['asyncio'],File support for asyncio
Tlf/tlf,50,2011-09-14T04:21:10Z,2023-03-25T13:39:05Z,2023-06-29T17:52:55Z,False,,False,GNU General Public License v2.0,C,"['ham-radio', 'contest', 'logger']",TLF - a console based ham radio contest logger
shapely/shapely,3333,2011-12-31T19:43:11Z,2023-07-02T15:12:33Z,2023-07-01T15:27:30Z,False,,False,"BSD 3-Clause ""New"" or ""Revised"" License",Python,[],Manipulation and analysis of geometric objects
Toblerity/rtree,557,2011-06-19T15:26:19Z,2023-06-26T10:46:48Z,2023-06-23T21:08:51Z,False,,False,MIT License,Python,[],Rtree: spatial index for Python GIS ¶
Toilal/rebulk,53,2015-09-05T06:11:51Z,2023-05-10T03:45:48Z,2023-02-18T09:10:21Z,False,,False,MIT License,Python,[],Define simple search patterns in bulk to perform advanced matching on any string
TokTok/c-toxcore,1977,2016-07-06T08:15:22Z,2023-07-02T14:44:02Z,2023-06-15T21:34:33Z,True,,False,GNU General Public License v3.0,C,"['toxcore', 'network', 'p2p', 'security', 'encryption', 'cryptography']",The future of online communications.
Tom-McDermott/gr-hpsdr,15,2014-09-29T22:52:23Z,2023-03-25T14:25:30Z,2022-05-17T14:04:51Z,False,,False,Other,C++,"['receiver', 'hermes', 'gnuradio', 'alex', 'transmitter', 'hpsdr', 'red-pitaya', 'metis']","gnuradio interface module for HPSDR Hermes / Metis, and Red Pitaya (using OpenHPSDR protocol 1)"
Tomas-M/iotop,247,2014-08-19T08:50:15Z,2023-06-28T12:19:29Z,2023-06-30T13:44:18Z,False,,False,Other,C,[],A top utility for IO
TomasTomecek/tmux-top,49,2014-10-12T15:11:14Z,2023-01-01T12:40:14Z,2022-06-08T13:38:47Z,False,,False,GNU General Public License v2.0,Go,[],Monitoring information for your tmux status line.
TooTallNate/ansi.js,318,2012-01-25T17:19:08Z,2023-06-18T05:53:21Z,2017-07-20T21:59:19Z,False,,False,MIT License,JavaScript,[],Advanced ANSI formatting tool for Node.js
TooTallNate/array-index,14,2012-06-14T07:01:10Z,2022-11-21T03:20:05Z,2016-06-15T09:17:58Z,False,,False,MIT License,JavaScript,[],Invoke getter/setter functions on array-like objects
TooTallNate/node-bindings,386,2012-01-28T20:26:06Z,2023-06-28T16:33:38Z,2023-06-13T20:20:45Z,False,,False,MIT License,JavaScript,[],Helper module for loading your native module's `.node` file
TooTallNate/path-array,17,2013-12-21T23:23:10Z,2021-07-26T21:18:09Z,2016-02-09T08:58:55Z,False,,False,MIT License,JavaScript,[],Treat your $PATH like a JavaScript Array
TooTallNate/util-deprecate,37,2014-04-30T17:10:00Z,2022-12-04T13:12:20Z,2018-11-11T02:10:34Z,False,,False,MIT License,JavaScript,[],The Node.js `util.deprecate()` function with browser support
ToruNiina/toml11,795,2017-04-19T11:16:11Z,2023-07-02T14:35:47Z,2023-05-29T14:19:12Z,False,,False,MIT License,C++,"['toml', 'c-plus-plus-11', 'c-plus-plus', 'parser', 'serializer', 'c-plus-plus-14', 'c-plus-plus-17', 'header-only', 'toml-parser', 'c-plus-plus-20']",TOML for Modern C++
ToxicFrog/vstruct,99,2009-06-03T14:38:30Z,2023-05-10T17:37:29Z,2020-08-02T02:15:14Z,False,,False,Other,Lua,[],"A Lua library for packing and unpacking binary data, supporting arbitrary (byte-aligned) widths, named fields, and repetition."
Tripwire/tripwire-open-source,736,2015-05-04T05:05:54Z,2023-06-27T05:24:15Z,2021-05-15T19:56:49Z,False,,False,GNU General Public License v2.0,C++,"['tripwire', 'security', 'security-tools', 'md5', 'sha1', 'change-detection']",Open Source Tripwire®
TurboGears/backlash,13,2012-09-18T23:13:37Z,2020-05-14T14:13:13Z,2020-05-06T21:35:13Z,False,,False,MIT License,Python,[],Standalone WebOb port of the Werkzeug Debugger with Python3 support born as a WebError replacement for TurboGears2
TurboTurtle/rig,8,2019-01-14T21:04:38Z,2023-06-13T01:51:36Z,2023-05-15T15:44:28Z,False,,False,GNU General Public License v2.0,Python,[],"A lightweight, flexible, easy to use system monitoring and event handling utility"
TwP/little-plugger,30,2009-07-17T15:33:04Z,2022-08-03T12:29:15Z,2020-11-20T12:08:31Z,False,,False,,Ruby,[],A gems based plugin framework for Ruby
UCL/PETPVC,40,2014-02-22T09:51:26Z,2023-06-23T02:17:02Z,2023-03-01T21:34:41Z,False,,False,Apache License 2.0,C++,"['pvc', 'pet-mr', 'medical-imaging', 'partial-volume-correction', 'positron-emission-tomography']",Partial Volume Correction in PET
Uninett/mod_auth_mellon,209,2014-06-24T08:44:12Z,2023-05-03T14:56:06Z,2020-01-28T08:29:55Z,False,2020-01-28T16:30:12Z,False,,,"['saml2', 'apache-httpd', 'c']",An Apache module with a simple SAML 2.0 service provider
acornjs/acorn-object-spread,5,2016-06-01T17:09:12Z,2023-01-28T14:10:39Z,2020-03-13T20:37:32Z,False,2020-06-12T03:02:24Z,False,MIT License,JavaScript,[],ObjectSpread support in acorn
UbuntuKylin/indicator-china-weather,15,2019-02-15T07:58:11Z,2023-03-12T08:02:25Z,2021-08-05T08:40:19Z,False,,False,GNU General Public License v3.0,C++,[],
UbuntuKylin/kylin-burner,8,2017-12-20T11:00:50Z,2022-05-21T15:37:23Z,2021-07-07T07:03:57Z,False,,False,Other,C++,[],simple and easy to use
UbuntuKylin/kylin-ipmsg,15,2020-11-17T08:04:47Z,2022-11-16T08:27:48Z,2021-07-30T09:15:07Z,False,,False,GNU General Public License v3.0,C++,[],麒麟传书QT5
UbuntuKylin/kylin-music,11,2020-09-27T12:42:07Z,2022-05-12T10:30:23Z,2021-03-31T02:42:51Z,False,,False,GNU General Public License v3.0,C++,[],kylin-music
UbuntuKylin/kylin-photo-viewer,2,2021-03-01T07:11:51Z,2021-09-24T12:48:10Z,2021-07-30T12:23:51Z,False,,False,,C++,[],
UbuntuKylin/kylin-recorder,9,2020-09-21T07:29:13Z,2022-02-21T09:01:06Z,2021-07-30T13:07:25Z,False,,False,,C++,[],
UbuntuKylin/kylin-scanner,12,2020-07-17T03:31:32Z,2021-10-14T06:23:36Z,2021-07-31T02:28:25Z,False,,False,GNU General Public License v3.0,C++,[],Kylin Scanner is an interface-friendly scanning software developed with Qt5. 
UbuntuKylin/kylin-video,23,2017-12-13T06:56:44Z,2023-05-28T07:44:21Z,2021-08-30T07:07:13Z,False,,False,GNU General Public License v2.0,C++,[],
UbuntuKylin/youker-assistant,63,2015-01-07T02:44:22Z,2023-03-07T06:43:22Z,2022-02-15T05:57:17Z,False,,False,,C++,[],
Ulauncher/Ulauncher,3140,2015-05-10T08:44:08Z,2023-07-02T13:18:26Z,2023-06-23T21:30:40Z,False,,False,Other,Python,"['linux', 'launcher', 'python', 'gtk']",Linux Application Launcher 🇺🇦
Ultimaker/CuraEngine,1504,2013-03-04T14:12:08Z,2023-06-24T05:15:15Z,2023-07-02T15:21:01Z,False,,False,GNU Affero General Public License v3.0,C++,"['curaengine', 'cura', 'c-plus-plus', 'gcode-generation', 'libarcus', 'gcode', 'protobuf']","Powerful, fast and robust engine for converting 3D models into g-code instructions for 3D printers. It is part of the larger open source project Cura."
Ultimaker/Uranium,296,2014-11-10T13:56:28Z,2023-06-13T07:09:52Z,2023-06-21T14:45:44Z,False,,False,GNU Lesser General Public License v3.0,Python,"['python-framework', 'qt', 'pyqt', '3d-graphics', '3d-models', 'pyqt6', 'cura']", A Python framework for building Desktop applications.
Ultimaker/fdm_materials,55,2015-11-13T09:16:02Z,2023-05-14T06:40:02Z,2023-06-28T11:48:51Z,False,,False,Creative Commons Zero v1.0 Universal,Shell,"['cura', 'ultimaker', 'profiles', 'filament']",FDM Material database
Ultimaker/libArcus,69,2014-07-10T11:29:07Z,2023-05-18T04:20:32Z,2023-06-15T21:28:04Z,False,,False,GNU Lesser General Public License v3.0,C++,"['c-plus-plus', 'protobuf', 'cura', 'curaengine']",Communication library between internal components for Ultimaker software
Ultimaker/libSavitar,10,2017-01-27T09:41:19Z,2023-03-05T06:26:36Z,2023-06-16T09:35:20Z,False,,False,GNU Lesser General Public License v3.0,C++,"['c-plus-plus', '3mf', 'cura']",libSavitar is a c++ implementation of 3mf loading with SIP python bindings. 
Ultimaker/pynest2d,15,2020-09-17T15:54:20Z,2023-06-21T10:40:57Z,2022-12-30T11:54:26Z,False,,False,GNU Lesser General Public License v3.0,Python,"['python', 'nesting', 'cura', 'sip', 'pythonbinding']",Python bindings for libnest2d
Unidata/netcdf-c,440,2013-08-06T20:48:09Z,2023-06-20T15:16:50Z,2023-06-26T16:31:10Z,False,,False,"BSD 3-Clause ""New"" or ""Revised"" License",C,"['netcdf', 'unidata', 'unidata-netcdf', 'c', 'hacktoberfest']",Official GitHub repository for netCDF-C libraries and utilities.
Unidata/netcdf4-python,678,2014-01-13T22:41:52Z,2023-06-30T19:29:43Z,2023-06-06T19:47:41Z,False,,False,MIT License,Cython,"['python', 'netcdf', 'netcdf4']",netcdf4-python: python/numpy interface to the netCDF C library
Unrud/video-downloader,525,2019-06-06T13:41:08Z,2023-06-29T21:11:52Z,2023-06-25T16:27:29Z,False,,False,GNU General Public License v3.0,Python,[],Download videos from websites like YouTube and many others (based on yt-dlp)
Unyonsys/puppet-module-keepalived,2,2012-06-08T01:17:47Z,2022-01-11T09:13:03Z,2018-09-10T20:46:42Z,False,,False,Other,Puppet,[],Puppet module to manage Keepalived
VMML/vmmlib,72,2012-06-28T12:08:48Z,2023-02-20T12:06:21Z,2023-02-23T14:06:25Z,False,,False,Other,CMake,[],A templatized C++ vector and matrix math library 
ValiMail/authentication-headers,14,2017-01-26T21:06:54Z,2023-03-11T12:45:31Z,2023-03-05T23:01:32Z,False,,False,Other,Python,[],library for the generation of email authentication headers
jschlatow/taskopen,313,2010-11-05T15:41:49Z,2023-06-28T21:31:54Z,2023-03-24T09:31:17Z,False,,False,GNU General Public License v2.0,Nim,"['taskwarrior', 'nim']",Tool for taking notes and open urls with taskwarrior
ValvePython/steam,869,2015-07-05T02:41:30Z,2023-07-02T15:20:53Z,2023-06-13T22:51:02Z,False,,False,MIT License,Python,"['steam', 'valve', 'steamworks', 'webapi', 'authentication', 'authenticator', 'python', 'steam-guard-codes', 'steam-authenticator', 'steam-web', 'steam-client', 'hacktoberfest']",☁️ Python package for interacting with Steam
ValvePython/vdf,149,2015-04-19T18:47:22Z,2023-06-22T05:41:14Z,2023-03-19T16:21:49Z,False,,False,MIT License,Python,"['steam', 'valve', 'vdf', 'keyvalue', 'parser', 'serializer', 'python', 'hacktoberfest']",📜 Package for working with Valve's text and binary KeyValue format
Venemo/puzzle-master,9,2013-02-26T08:19:50Z,2023-03-02T18:47:47Z,2018-05-13T11:10:58Z,False,,False,GNU General Public License v2.0,QML,[],Fun and addictive jigsaw puzle game
VictorPelaez/coral-reef-optimization-algorithm,22,2017-10-02T17:09:14Z,2022-06-22T00:07:40Z,2021-11-12T11:01:30Z,False,,False,MIT License,Python,[],"Coral Reefs Optimization (CRO) algorithm artificially simulates a coral reef, where different corals (which are the solutions for the considered optimization problem) grow and reproduce in a coral-reef, fighting with other corals for space"
VirusTotal/yara-python,543,2015-09-11T09:37:35Z,2023-06-29T15:05:03Z,2023-04-26T07:45:40Z,False,,False,Apache License 2.0,C,['yara'],The Python interface for YARA
VividCortex/ewma,408,2013-07-05T21:33:25Z,2023-05-28T12:36:47Z,2021-08-14T11:56:33Z,False,,False,MIT License,Go,[],Exponentially Weighted Moving Average algorithms for Go.
VividCortex/godaemon,490,2013-08-01T17:16:30Z,2023-06-11T10:04:37Z,2021-06-29T04:55:28Z,False,,False,MIT License,Go,[],Daemonize Go applications deviously.
VividCortex/gohistogram,172,2013-07-02T12:53:22Z,2023-06-23T03:58:27Z,2020-12-15T17:33:31Z,False,2023-06-01T01:05:00Z,False,MIT License,Go,[],Streaming approximate histograms in Go
VividCortex/mysqlerr,184,2014-11-21T19:57:52Z,2023-06-10T00:32:27Z,2021-04-26T21:10:48Z,False,,False,MIT License,Go,[],MySQL Server Error Constants for Golang
WarrenWeckesser/wavio,127,2014-12-11T04:14:59Z,2023-07-01T06:57:00Z,2023-07-01T23:15:22Z,False,,False,,Python,"['wav', 'python', 'numpy']",A Python module for reading and writing WAV files using numpy arrays.
Washington-University/gradunwarp,19,2014-07-21T22:11:02Z,2022-12-29T12:29:28Z,2023-01-06T04:35:41Z,True,,False,Other,Python,[],Gradient Unwarping in Python
WasmEdge/WasmEdge,6219,2019-11-29T19:00:17Z,2023-07-02T10:06:18Z,2023-07-01T16:13:22Z,False,,False,Apache License 2.0,C++,"['webassembly', 'wasm', 'artificial-intelligence', 'rust-lang', 'cncf', 'cloud', 'cloud-native', 'edge-computing', 'ewasm', 'serverless', 'hacktoberfest', 'kubernetes', 'container', 'docker']","WasmEdge is a lightweight, high-performance, and extensible WebAssembly runtime for cloud native, edge, and decentralized applications. It powers serverless apps, embedded functions, microservices, smart contracts, and IoT devices."
WayfireWM/wayfire,1825,2016-03-04T15:00:44Z,2023-07-02T12:16:10Z,2023-06-28T12:10:58Z,False,,False,MIT License,C++,"['wayland-compositor', 'window-manager', 'wayfire', 'wayland']",A modular and extensible wayland compositor
WayfireWM/wcm,29,2018-08-14T19:14:39Z,2023-05-13T02:09:28Z,2023-05-21T12:55:23Z,False,,False,MIT License,C++,[],Wayfire Config Manager
WayfireWM/wf-config,12,2018-06-04T06:34:43Z,2023-05-04T10:56:21Z,2023-06-19T19:56:23Z,False,,False,MIT License,C++,[],"A library for managing configuration files, written for wayfire"
WayfireWM/wf-shell,106,2018-08-30T09:34:18Z,2023-06-05T08:00:40Z,2023-04-04T23:04:54Z,False,,False,MIT License,C++,[],A GTK3-based panel for wayfire
WebAssembly/binaryen,6503,2015-10-29T20:26:28Z,2023-07-02T11:33:24Z,2023-07-01T04:58:49Z,False,,False,Apache License 2.0,WebAssembly,"['emscripten', 'webassembly', 'compilers', 'c-plus-plus', 'hacktoberfest']",Optimizer and compiler/toolchain library for WebAssembly
WebAssembly/wabt,5556,2015-09-14T18:14:23Z,2023-07-01T12:00:35Z,2023-07-02T12:56:36Z,False,,False,Apache License 2.0,C++,['webassembly'],The WebAssembly Binary Toolkit
WebPlatformForEmbedded/libwpe,33,2015-10-11T17:34:11Z,2023-04-26T00:07:37Z,2023-05-17T20:59:55Z,False,,False,"BSD 2-Clause ""Simplified"" License",C,"['wpe', 'webkit', 'wpewebkit']",General-purpose library specifically developed for the WPE-flavored port of WebKit.
WebThingsIO/webthing-python,176,2018-03-09T15:22:43Z,2023-04-14T09:28:08Z,2023-04-14T09:28:02Z,False,,False,Mozilla Public License 2.0,Python,[],Python implementation of a Web Thing server
Wilfred/logstash-conf.el,21,2014-10-22T21:10:04Z,2021-11-22T19:40:46Z,2021-01-23T19:49:26Z,False,,False,,Emacs Lisp,[],Emacs major mode for editing logstash configuration files
Winetricks/winetricks,2304,2015-03-15T20:36:11Z,2023-06-30T16:26:54Z,2023-07-01T16:47:45Z,False,,False,GNU Lesser General Public License v2.1,Shell,"['winetricks', 'shell', 'wine', 'winehq', 'wine-staging', 'gaming']",Winetricks is an easy way to work around problems in Wine
